time,Lsol,Gsol,Csol,Isol,Tsol,control
0.0,0.0,0.0,3.0,2.0,0.2,0.9991191350068842
0.001001001001001001,0.000998730489274557,0.000826457558162151,2.997580975912944,1.9985995905252456,0.20003295775856375,0.9991197539724732
0.002002002002002002,0.0019966361580792125,0.0016520669848260196,2.9951658854593997,1.9972011637623988,0.20006590511880795,0.9991203466477192
0.003003003003003003,0.0029937176619374718,0.0024766643565418316,2.9927547239668493,1.9958047179994842,0.20009884209645104,0.9991209134125845
0.004004004004004004,0.003989975656209206,0.003300086425023185,2.9903474866021242,1.9944102515246946,0.20013176870721042,0.999121454645045
0.005005005005005005,0.0049854107960888,0.004122170680797654,2.987944168372271,1.9930177626264272,0.20016468496680107,0.999121970721074
0.006006006006006006,0.005980023736603295,0.00494275541628411,2.9855447641254784,1.9916272495933196,0.2001975908909342,0.9991224620146237
0.007007007007007007,0.0069738151326105054,0.005761679788260869,2.983149268552069,1.9902387107142883,0.2002304864953158,0.9991229288976066
0.008008008008008008,0.007966785638797123,0.0065787838796893825,2.98075767618555,1.9888521442785636,0.20026337179564527,0.9991233717398768
0.009009009009009009,0.008958935909676806,0.0073939087608587434,2.9783699814037243,1.9874675485757287,0.20029624680761404,0.9991237909092114
0.01001001001001001,0.009950266599588243,0.008206896549816963,2.9759861784298636,1.9860849218957553,0.20032911154690425,0.9991241867712909
0.011011011011011011,0.01094077836269321,0.009017590472055567,2.9736062613339374,1.9847042625290414,0.2003619660291873,0.9991245596896795
0.012012012012012012,0.0119304718529746,0.009825834919414782,2.971230224033902,1.9833255687664495,0.20039481027012254,0.9991249100258053
0.013013013013013013,0.01291934772423444,0.01063147550817724,2.9688580602970465,1.9819488388993425,0.20042764428535595,0.9991252381389404
0.014014014014014014,0.013907406630091884,0.011434359136318874,2.9664897637413947,1.9805740712196223,0.20046046809051873,0.9991255443861807
0.015015015015015015,0.0148946492239812,0.012234334039886429,2.9641253278371624,1.9792012640197667,0.20049328170122607,0.9991258291224254
0.016016016016016016,0.01588107615914972,0.013031249848471706,2.9617647459082703,1.9778304155928672,0.20052608513307577,0.9991260927003567
0.017017017017017015,0.01686668808865579,0.013824957639753546,2.9594080111339083,1.9764615242326664,0.20055887840164693,0.9991263354704194
0.018018018018018018,0.017851485665366686,0.014615309993079258,2.9570551165501544,1.9750945882335955,0.20059166152249872,0.9991265577808004
0.01901901901901902,0.018835469541956522,0.015402161042058072,2.9547060550516444,1.9737296058908114,0.200624434511169,0.9991267599774081
0.02002002002002002,0.019818640370904132,0.016185366526140024,2.9523608193932915,1.9723665755002342,0.2006571973831731,0.9991269424038517
0.02102102102102102,0.020800998804490944,0.016964783841154504,2.950019402192056,1.9710054953585847,0.20068995015400268,0.999127105401421
0.022022022022022022,0.02178254549479882,0.017740272088783617,2.947681795928762,1.9696463637634214,0.20072269283912425,0.999127249309066
0.023023023023023025,0.02276328109370789,0.018511692124946324,2.945347992949963,1.9682891790131771,0.20075542545397812,0.9991273744633764
0.024024024024024024,0.02374320625289436,0.019278906607070285,2.943017985469853,1.966933939407197,0.2007881480139771,0.9991274811985618
0.025025025025025023,0.024722321623828317,0.020041780040229197,2.9406917655722213,1.965580643245774,0.20082086053450537,0.999127569846431
0.026026026026026026,0.02570062785777149,0.020800178822124354,2.938369325212452,1.9642292888301869,0.20085356303091723,0.9991276407363732
0.02702702702702703,0.026678125605775014,0.0215539712868901,2.9360506562195647,1.9628798744627352,0.20088625551853595,0.9991276941953371
0.028028028028028028,0.027654815518677173,0.022303027747703756,2.9337357502982995,1.9615323984467767,0.20091893801265262,0.9991277305478126
0.029029029029029027,0.02863069824710112,0.023047220538181565,2.931424599031237,1.9601868590867633,0.20095161052852498,0.9991277501158109
0.03003003003003003,0.029605774441452584,0.02378642405254321,2.9291171938809604,1.958843254688276,0.20098427308137637,0.9991277532188458
0.031031031031031032,0.030580044751917557,0.024520514784528324,2.926813526192256,1.9575015835580614,0.2010169256863945,0.9991277401739151
0.03203203203203203,0.03155350982845997,0.02524937136504949,2.9245135871943466,1.9561618440040671,0.20104956835873056,0.9991277112954822
0.03303303303303303,0.032526170320819336,0.025972874598567126,2.9222173680031607,1.954824034335476,0.20108220111349787,0.9991276668954583
0.03403403403403403,0.033498026878508426,0.026690907498172697,2.9199248596236367,1.9534881528627417,0.2011148239657711,0.9991276072831838
0.035035035035035036,0.034469080150810856,0.02740335531936763,2.9176360529520573,1.9521541978976231,0.20114743693058504,0.9991275327654128
0.036036036036036036,0.03543933078677872,0.028110105592526358,2.915350938778416,1.9508221677532183,0.2011800400229337,0.9991274436462942
0.037037037037037035,0.03640877943523017,0.028811048154032824,2.913069507788813,1.9494920607439983,0.20121263325776922,0.9991273402273564
0.03803803803803804,0.037377426744747005,0.029506075176080886,2.9107917505678773,1.948163875185841,0.201245216650001,0.9991272228074906
0.03903903903903904,0.03834527336367225,0.03019508119512995,2.9085176576012186,1.9468376093960642,0.2012777902144946,0.9991270916829358
0.04004004004004004,0.0393123199401077,0.030877963139008206,2.9062472192779025,1.9455132616934585,0.20131035396607092,0.9991269471472624
0.04104104104104104,0.04027856712191144,0.03155462035265683,2.9039804258929496,1.9441908303983193,0.20134290791950518,0.9991267894913582
0.04204204204204204,0.04124401555669543,0.03222495462250951,2.9017172676498575,1.9428703138324797,0.20137545208952615,0.9991266190034144
0.043043043043043044,0.04220866589182295,0.03288887019950256,2.899457734663145,1.9415517103193412,0.2014079864908151,0.9991264359689106
