TGFinj_t1,TGFinj_t2
0.0,1.0
2.0,3.0
4.0,5.0
6.0,7.0
8.0,9.0
10.0,10.033033033033034
20.108108108108112,21.108108108108112
33.06006006006007,34.06006006006007
46.01201201201202,47.01201201201202
58.978978978978986,59.978978978978986
