time,Lsol,Gsol,Csol,Ssol,Isol,Tsol,uLcontrol,uScontrol
0.0,0.0,0.0,4.0,0.0,0.3,0.2,0.9990244256416312,1.9979250444580428
0.001001001001001001,0.0009986340223785445,0.0008264575608201812,3.9995344992540227,0.001994015345726721,0.2999362858909035,0.2000006754114945,0.9990244320237607,1.997925139237699
0.002002002002002002,0.0019964426949547727,0.001652067006120909,3.9990704658759926,0.003980142226452586,0.29987467809530377,0.20000135080254966,0.9990244381165425,1.9979252341584233
0.003003003003003003,0.002993426699579917,0.0024766644285057478,3.998607891574661,0.005958411850015414,0.29981516648336803,0.20000202617118648,0.999024443924406,1.9979253292201888
0.004004004004004004,0.003989586717546079,0.0033000865958031354,3.998146767933529,0.007928855300791118,0.2997577409673375,0.20000270151543523,0.9990244494517534,1.9979254244229707
0.005005005005005005,0.004984923429586664,0.004122171014695368,3.9976870864114895,0.009891503540182128,0.29970239150137745,0.20000337683333536,0.9990244547029599,1.9979255197667425
0.006006006006006006,0.005979437515876814,0.0049427559937744656,3.9972288383435326,0.011846387407103894,0.299649108081428,0.20000405212293546,0.9990244596823741,1.9979256152514793
0.007007007007007007,0.006973129656033847,0.005761680705989063,3.9967720149415134,0.013793537618469458,0.2995978807450549,0.20000472738229325,0.9990244643943169,1.9979257108771549
0.008008008008008008,0.007966000529117685,0.0065787852504470504,3.9963166072949834,0.015732984769672106,0.2995486995713017,0.20000540260947544,0.9990244688430818,1.9979258066437442
0.009009009009009009,0.00895805081363129,0.0073939107135392815,3.995862606372084,0.017664759335066123,0.2995015546805418,0.2000060778025577,0.9990244730329347,1.9979259025512213
0.01001001001001001,0.009949281187521097,0.008206899229350298,3.9954100030205004,0.01958889166844563,0.29945643623433127,0.2000067529596245,0.9990244769681134,1.9979259985995608
0.011011011011011011,0.010939692328177444,0.009017594039322662,3.994958787968478,0.021505412003521532,0.2994133344352623,0.2000074280787692,0.9990244806528275,1.9979260947887372
0.012012012012012012,0.011929284912435011,0.009825839551142182,3.9945089518258947,0.02341435045439659,0.29937223952681696,0.20000810315809384,0.9990244840912585,1.9979261911187254
0.013013013013013013,0.012918059616573238,0.010631481396811972,3.994060485085396,0.025315737016038606,0.29933314179322174,0.20000877819570917,0.9990244872875595,1.9979262875894994
0.014014014014014014,0.013906017116316765,0.011434366489884053,3.9936133781235856,0.027209601564751718,0.29929603155930223,0.20000945318973454,0.9990244902458543,1.9979263842010342
0.015015015015015015,0.01489315808683586,0.012234343081817908,3.9931676212022733,0.029095973858645867,0.2992608991903387,0.2000101281382978,0.9990244929702383,1.9979264809533044
0.016016016016016016,0.015879483202746847,0.013031260817436186,3.99272320446978,0.03097488353810438,0.2992277350919219,0.20001080303953533,0.9990244954647773,1.9979265778462845
0.017017017017017015,0.016864993138112534,0.013824970789448502,3.992280117962296,0.0328463601262497,0.2991965297098092,0.20001147789159188,0.9990244977335082,1.9979266748799491
0.018018018018018018,0.017849688566442645,0.014615325592015118,3.9918383516052938,0.034710433029407316,0.29916727352978173,0.20001215269262052,0.999024499780438,1.997926772054273
0.01901901901901902,0.018833570160694247,0.01540217937332307,3.9913978952149956,0.03656713153756778,0.29913995707750135,0.20001282744078264,0.9990245016095437,1.9979268693692305
0.02002002002002002,0.01981663859327217,0.01618538788714817,3.99095873849989,0.03841648482484696,0.29911457091836846,0.20001350213424784,0.9990245032247729,1.9979269668247968
0.02102102102102102,0.020798894536029434,0.016964808543377133,3.9905208710623015,0.0402585219499445,0.2990911056573803,0.20001417677119385,0.9990245046300426,1.9979270644209457
0.022022022022022022,0.021780338660267694,0.017740300457464987,3.9900842824000082,0.04209327185660032,0.29906955193898915,0.20001485134980648,0.9990245058292394,1.9979271621576524
0.023023023023023025,0.022760971636737643,0.018511724498803745,3.9896489619079105,0.04392076337404952,0.2990499004469618,0.2000155258682796,0.9990245068262193,1.9979272600348912
0.024024024024024024,0.023740794135639443,0.01927894333797929,3.989214898879744,0.0457410252174753,0.29903214190423855,0.20001620032481496,0.9990245076248081,1.9979273580526364
0.025025025025025023,0.024719806826623152,0.02004182149289425,3.9887820825098412,0.047554085988460185,0.29901626707279333,0.2000168747176223,0.9990245082287996,1.997927456210863
0.026026026026026026,0.025698010378789146,0.02080022537373563,3.9883505018949372,0.04935997417543545,0.2990022667534938,0.20001754904491917,0.9990245086419571,1.9979275545095452
0.02702702702702703,0.02667540546068855,0.02155402332676685,3.9879201460360187,0.05115871815412876,0.29899013178596184,0.20001822330493088,0.9990245088680125,1.9979276529486578
0.028028028028028028,0.027651992740323643,0.02230308567692482,3.987491003840217,0.05295034618801001,0.29897985304843483,0.20001889749589044,0.9990245089106659,1.9979277515281746
0.029029029029029027,0.028627772885148298,0.023047284769203556,3.9870630641227414,0.05473488642873548,0.29897142145762684,0.20001957161603856,0.9990245087735858,1.9979278502480704
0.03003003003003003,0.029602746562068395,0.023786495008806963,3.9866363156088522,0.05651236691659014,0.2989648279685905,0.20002024566362353,0.9990245084604089,1.9979279491083193
0.031031031031031032,0.030576914437442242,0.02452059290005413,3.9862107469358743,0.05828281558092826,0.2989600635745788,0.20002091963690116,0.9990245079747399,1.997928048108896
0.03203203203203203,0.031550277177081,0.02524945708402171,3.9857863466552463,0.06004626024061228,0.2989571193069082,0.20002159353413476,0.9990245073201507,1.9979281472497739
0.03303303303303303,0.03252283544624909,0.02597296837490877,3.985363103234606,0.0618027286044499,0.2989559862348207,0.20002226735359507,0.9990245065001815,1.9979282465309276
