time,Lsol,Gsol,Csol,Ssol,Isol,Tsol,uLcontrol,uScontrol
0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.9991300072810686,0.0
0.001001001001001001,0.0009987414618396013,0.0008264575578598118,1.0019180832525059,0.0,0.5014988311393055,0.20001901236577777,0.9991306956026295,0.0
0.002002002002002002,0.00199665816148154,0.0016520669824039462,1.0038303247136628,0.0,0.5029923378076686,0.20003804190128532,0.9991313527583671,0.0
0.003003003003003003,0.0029937507495693557,0.002476664348357395,1.005736747539432,0.0,0.5044805442817528,0.20005708856095225,0.9991319792338236,0.0
0.004004004004004004,0.003990019876691839,0.003300086405602773,1.0076373746688176,0.0,0.5059634747009858,0.20007615229941544,0.9991325755113215,0.0
0.005005005005005005,0.004985466193379865,0.004122170642833966,1.0095322288236273,0.0,0.5074411530685341,0.200095233071517,0.9991331420699489,0.0
0.006006006006006006,0.005980090350103216,0.004942755350636441,1.011421332508331,0.0,0.5089136032522759,0.20011433083230196,0.999133679385543,0.0
0.007007007007007007,0.0069738929972673865,0.005761679683958338,1.0133047080100142,0.0,0.5103808489857723,0.20013344553701615,0.9991341879306751,0.0
0.008008008008008008,0.007966874785210382,0.006578783723937039,1.0151823773984239,0.0,0.5118429138692372,0.200152577141104,0.9991346681746343,0.0
0.009009009009009009,0.008959036364199494,0.007393908539046508,1.0170543625261084,0.0,0.5132998213705039,0.2001717256002063,0.9991351205834104,0.0
0.01001001001001001,0.009950378384428077,0.00820689624553133,1.0189206850286467,0.0,0.5147515948259895,0.20019089087015804,0.9991355456196782,0.0
0.011011011011011011,0.010940901496012295,0.009017590067094012,1.020781366324968,0.0,0.516198257441657,0.20021007290698625,0.9991359437427805,0.0
0.012012012012012012,0.011930606348987864,0.009825834393802808,1.022636427617758,0.0,0.5176398322939735,0.20022927166690777,0.9991363154087114,0.0
0.013013013013013013,0.012919493593306783,0.010631474840188,1.0244858898939526,0.0,0.5190763423308653,0.20024848710632712,0.9991366610700988,0.0
0.014014014014014014,0.013907563878834033,0.01143435830249529,1.026329773925316,0.0,0.5205078103726699,0.20026771918183434,0.9991369811761883,0.0
0.015015015015015015,0.01489481785534429,0.01223433301506574,1.0281681002691025,0.0,0.5219342591130831,0.2002869678502028,0.9991372761728259,0.0
0.016016016016016016,0.0158812561725186,0.013031248605812387,1.0300008892687986,0.0,0.523355711120103,0.2003062330683871,0.9991375465024406,0.0
0.017017017017017015,0.016866879479941053,0.013824956150764497,1.0318281610549467,0.0,0.5247721888369691,0.20032551479352084,0.9991377926040281,0.0
0.018018018018018018,0.01785168842709544,0.014615308227651207,1.0336499355460467,0.0,0.526183714583097,0.20034481298291465,0.9991380149131339,0.0
0.01901901901901902,0.018835683663361885,0.015402158968497111,1.0354662324495345,0.0,0.5275903105550085,0.20036412759405392,0.9991382138618368,0.0
0.02002002002002002,0.019818865838013486,0.016185364111203186,1.0372770712628365,0.0,0.5289919988272566,0.2003834585845968,0.9991383898787314,0.0
0.02102102102102102,0.020801235600212926,0.016964781050087325,1.0390824712744962,0.0,0.5303888013533453,0.20040280591237203,0.9991385433889133,0.0
0.022022022022022022,0.021782793599009073,0.01774026888535957,1.0408824515653743,0.0,0.5317807399666447,0.2004221695353769,0.9991386748139617,0.0
0.023023023023023025,0.02276354048333357,0.018511688471508077,1.0426770310099187,0.0,0.5331678363812992,0.20044154941177517,0.9991387845719244,0.0
0.024024024024024024,0.023743476901997414,0.019278902464572676,1.044466228277503,0.0,0.534550112193132,0.20046094549989507,0.9991388730773013,0.0
0.025025025025025023,0.024722603503687515,0.020041775368283846,1.046250061833832,0.0,0.535927588880542,0.20048035775822717,0.9991389407410298,0.0
0.026026026026026026,0.025700920936963245,0.02080017357904584,1.0480285499424125,0.0,0.5373002878053962,0.20049978614542247,0.9991389879704693,0.0
0.02702702702702703,0.026678429850252993,0.021553965429743607,1.0498017106660884,0.0,0.5386682302139143,0.20051923062029023,0.9991390151693867,0.0
0.028028028028028028,0.02765513089185067,0.022303021232354094,1.0515695618686367,0.0,0.5400314372375492,0.20053869114179618,0.9991390227379423,0.0
0.029029029029029027,0.028631024709912245,0.023047213319343517,1.053332121216424,0.0,0.5413899298938589,0.20055816766906037,0.9991390110726752,0.0
0.03003003003003003,0.02960611195245224,0.02378641608383307,1.0550894061801215,0.0,0.5427437290873739,0.20057766016135534,0.9991389805664902,0.0
0.031031031031031032,0.030580393267340227,0.02452050601851658,1.0568414340364773,0.0,0.5440928556104562,0.2005971685781041,0.999138931608645,0.0
0.03203203203203203,0.031553869302297324,0.02524936175331455,1.058588221870143,0.0,0.545437330144153,0.2006166928788783,0.9991388645847368,0.0
0.03303303303303303,0.03252654070489266,0.02597286409175,1.060329786575553,0.0,0.5467771732590426,0.20063623302339617,0.9991387798766902,0.0
0.03403403403403403,0.03349840812253984,0.026690896046032555,1.0620661448588569,0.0,0.5481124054160743,0.20065578897152087,0.9991386778627463,0.0
0.035035035035035036,0.03446947220249342,0.02740334287083815,1.0637973132399003,0.0,0.5494430469674,0.20067536068325842,0.9991385589174502,0.0
0.036036036036036036,0.035439733591845345,0.02811009209577278,1.0655233080542543,0.0,0.5507691181571998,0.200694948118756,0.9991384234116414,0.0
0.037037037037037035,0.036409192937521394,0.028811033556509637,1.0672441454552908,0.0,0.5520906391225,0.20071455123829998,0.9991382717124427,0.0
0.03803803803803804,0.03737785088627762,0.029506059424590045,1.0689598414163026,0.0,0.553407629893984,0.20073417000231433,0.9991381041832514,0.0
