IFNinj_t1,IFNinj_t2
0.0,1.0
2.0,2.4834834834834836
2.963963963963964,3.963963963963964
5.405405405405405,6.405405405405405
8.927927927927929,9.927927927927929
12.61061061061061,13.61061061061061
16.293293293293292,17.293293293293292
19.975975975975974,20.975975975975974
23.678678678678676,24.678678678678676
27.381381381381377,28.381381381381377
31.06406406406406,32.064064064064056
34.74674674674674,35.74674674674674
38.42942942942942,39.42942942942942
42.13213213213212,43.13213213213212
45.8148148148148,46.8148148148148
49.497497497497484,50.497497497497484
53.180180180180166,54.180180180180166
56.88288288288287,57.88288288288287
