time,Csol,Ssol,Isol,Tsol,control
0.0,1.0,0.0,0.5,0.2,1.998046875
0.001001001001001001,1.0023678941783034,0.0019941368873003856,0.5014993798512016,0.2000190145062549,1.998046875
0.002002002002002002,1.0047286665881066,0.003980384734106477,0.5029945309252626,0.20003805045368037,1.998046875
0.003003003003003003,1.007082339126347,0.005958774750392032,0.5044854749056349,0.20005710778243205,1.998046875
0.004004004004004004,1.0094289336495144,0.007929338022660475,0.5059722333404792,0.2000761864328694,1.998046875
0.005005005005005005,1.0117684719727547,0.009892105514433357,0.5074548276431307,0.200095286345555,1.998046875
0.006006006006006006,1.014100975869002,0.011847108066736892,0.5089332790925762,0.20011440746125414,1.998046875
0.007007007007007007,1.0164264670681373,0.01379437639858656,0.5104076088339449,0.20013354972093406,1.998046875
0.008008008008008008,1.0187449672561721,0.015733941107469795,0.5118778378790082,0.2001527130657635,1.998046875
0.009009009009009009,1.0210564980744588,0.017665832669826766,0.5133439871066922,0.20017189743711206,1.998046875
0.01001001001001001,1.023361081118925,0.019590081441529253,0.5148060772635995,0.2001911027765496,1.998046875
0.011011011011011011,1.025658737939334,0.021506717658357634,0.5162641289645421,0.20021032902584573,1.998046875
0.012012012012012012,1.0279494900385657,0.023415771436475972,0.5177181626930825,0.20022957612696907,1.998046875
0.013013013013013013,1.0302333588719246,0.02531727277290524,0.5191681988020845,0.20024884402208673,1.998046875
0.014014014014014014,1.032510365846468,0.02721125154599466,0.5206142575142735,0.20026813265356372,1.998046875
0.015015015015015015,1.0347805323203587,0.029097737515891186,0.5220563589228033,0.2002874419639623,1.998046875
0.016016016016016016,1.0370438796022368,0.03097676032500712,0.523494522991833,0.20030677189604137,1.998046875
0.017017017017017015,1.0393004289506151,0.03284834949848589,0.5249287695571092,0.20032612239275588,1.998046875
0.018018018018018018,1.0415502015732947,0.03471253444466598,0.5263591183265572,0.20034549339725616,1.998046875
0.01901901901901902,1.0437932186268004,0.036569344455543024,0.5277855888808782,0.20036488485288736,1.998046875
0.02002002002002002,1.046029501215837,0.03841880870723006,0.5292082006741525,0.20038429670318883,1.998046875
0.02102102102102102,1.0482590703927641,0.04026095626041599,0.53062697303445,0.2004037288918934,1.998046875
0.022022022022022022,1.0504819471570905,0.0420958160608222,0.5320419251644453,0.20042318136292686,1.998046875
0.023023023023023025,1.0526981524549877,0.043923416939657414,0.5334530761420393,0.20044265406040726,1.998046875
0.024024024024024024,1.0549077071788198,0.04574378761407068,0.5348604449209852,0.20046214692864434,1.998046875
0.025025025025025023,1.0571106321666934,0.04755695668760261,0.5362640503315196,0.20048165991213882,1.998046875
0.026026026026026026,1.0593069482020236,0.04936295265063487,0.5376639110809985,0.2005011929555818,1.998046875
0.02702702702702703,1.0614966760131173,0.05116180388083778,0.5390600457545371,0.20052074600385417,1.998046875
0.028028028028028028,1.063679836272772,0.052953538643616294,0.5404524728156539,0.20054031900202587,1.998046875
0.029029029029029027,1.0658564495978935,0.054738185092554056,0.5418412106069184,0.20055991189535538,1.998046875
0.03003003003003003,1.0680265365491262,0.05651577126985584,0.5432262773506024,0.20057952462928894,1.998046875
0.031031031031031032,1.0701901176305009,0.05828632510678814,0.5446076911493344,0.20059915714946,1.998046875
0.03203203203203203,1.0723472132890974,0.060049874424118084,0.5459854699867575,0.20061880940168852,1.998046875
0.03303303303303303,1.0744978439147213,0.06180644693255055,0.5473596317281888,0.20063848133198042,1.998046875
0.03403403403403403,1.0766420298395951,0.06355607023316362,0.5487301941212831,0.20065817288652682,1.998046875
0.035035035035035036,1.0787797913380643,0.06529877181784224,0.5500971747966972,0.20067788401170344,1.998046875
0.036036036036036036,1.0809111486263165,0.06703457906971023,0.5514605912687573,0.20069761465407,1.998046875
0.037037037037037035,1.083036121862114,0.06876351926356054,0.5528204609361281,0.20071736476036944,1.998046875
0.03803803803803804,1.0851547311445395,0.07048561956628384,0.5541768010824832,0.20073713427752748,1.998046875
0.03903903903903904,1.0872669965137542,0.07220090703729537,0.5555296288771776,0.20075692315265178,1.998046875
0.04004004004004004,1.0893729379507697,0.07390940862896013,0.5568789613759204,0.2007767313330314,1.998046875
0.04104104104104104,1.0914725753772303,0.07561115118701639,0.5582248155214502,0.20079655876613609,1.998046875
0.04204204204204204,1.0935659286552082,0.07730616145099752,0.5595672081442097,0.20081640539961568,1.998046875
0.043043043043043044,1.0956530175870103,0.07899446605465214,0.5609061559630223,0.2008362711812994,1.998046875
0.044044044044044044,1.097733861914996,0.08067609152636264,0.5622416755857687,0.20085615605919532,1.998046875
0.04504504504504504,1.0998084813214057,0.08235106428956197,0.5635737835100637,0.20087605998148958,1.998046875
0.04604604604604605,1.1018768954282012,0.0840194106631489,0.5649024961239342,0.20089598289654578,1.998046875
0.04704704704704705,1.1039391237969154,0.08568115686190152,0.5662278297064959,0.2009159247529044,1.998046875
0.04804804804804805,1.1059951859285126,0.08733632899688916,0.5675498004286311,0.20093588549928204,1.998046875
0.04904904904904905,1.1080451012632593,0.08898495307588271,0.5688684243536661,0.2009558650845709,1.998046875
0.050050050050050046,1.1100888891806042,0.09062705500376322,0.5701837174380475,0.200975863457838,1.998046875
0.05105105105105105,1.1121265689990676,0.09226266058292901,0.571495695532019,0.20099588056832465,1.998046875
0.05205205205205205,1.1141581599761405,0.09389179551370104,0.5728043743802967,0.20101591636544577,1.998046875
0.05305305305305305,1.1161836813081927,0.0955144853947268,0.5741097696227452,0.20103597079878915,1.998046875
0.05405405405405406,1.1182031521303892,0.0971307557233825,0.5754118967950506,0.20105604381811495,1.998046875
