IFNinj_t1,IFNinj_t2
0.0,1.0
1.3783783783783785,2.3783783783783785
3.2192192192192195,4.2192192192192195
6.301301301301302,7.301301301301302
9.963963963963964,10.963963963963964
13.646646646646648,14.646646646646648
17.32932932932933,18.32932932932933
21.03203203203203,22.03203203203203
24.714714714714713,25.714714714714713
28.417417417417415,29.417417417417415
32.1001001001001,33.1001001001001
35.78278278278278,36.78278278278278
39.46546546546546,40.46546546546546
43.168168168168165,44.168168168168165
46.85085085085085,47.85085085085085
50.53353353353353,51.53353353353353
54.21621621621621,55.21621621621621
57.91891891891891,58.91891891891891
